"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"15 days",16543,"PC","2009","Adventure","DTP Entertainment",0,0.01,0,0,0.01,342990,"2015-04-01",1,"House of Tales","HandyGames","windows",0,"Single-player;Steam Cloud","Adventure;Casual;Indie","Adventure;Casual;Indie",0,34,67,0,0,"0-20000","8.99",101,0.336633663366337,0.663366336633663
"18 wheels of steel extreme trucker 2",10160,"PC","2011","Racing","Rondomedia",0.08,0.02,0,0.01,0.11,362780,"2015-05-08",1,"ValuSoft","ValuSoft;Play Hard Games","windows",0,"Single-player","Simulation","Simulation;Driving",0,50,24,0,0,"0-20000","6.99",74,0.675675675675676,0.324324324324324
"40 winks",5804,"PS","1999","Platform","GT Interactive",0.17,0.12,0,0.02,0.31,778080,"2018-10-22",1,"Eurocom","Piko Interactive LLC","windows",0,"Single-player;Partial Controller Support","Action;Adventure","Action;Adventure;3D Platformer",0,3,7,0,0,"0-20000","10.29",10,0.3,0.7
"7 days to die",9880,"PS4","2016","Action","Telltale Games",0.03,0.07,0,0.02,0.12,251570,"2013-12-13",1,"The Fun Pimps","The Fun Pimps Entertainment LLC","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor","Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access","Early Access;Survival;Zombies",43,60718,16905,2953,574,"2000000-5000000","18.99",77623,0.782216611056001,0.217783388943999
"7 wonders ii",5657,"DS","2009","Puzzle","Rondomedia",0.14,0.15,0,0.03,0.32,15900,"2008-06-10",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual","Casual;Puzzle;Match 3",0,92,29,0,0,"20000-50000","6.99",121,0.760330578512397,0.239669421487603
"7 wonders of the ancient world",9544,"DS","2007","Puzzle","Funsta",0.1,0.01,0,0.01,0.13,275810,"2014-02-18",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual;Strategy","Casual;Strategy;Puzzle",0,60,31,0,0,"20000-50000","4.99",91,0.659340659340659,0.340659340659341
"7 wonders treasures of seven",12857,"DS","2011","Puzzle","Avanquest",0.02,0.03,0,0.01,0.05,16030,"2008-11-14",1,"MumboJumbo","MumboJumbo","windows",0,"Single-player","Casual","Casual;Match 3;Puzzle",0,57,21,0,0,"20000-50000","6.99",78,0.730769230769231,0.269230769230769
"a boy and his blob",7181,"Wii","2009","Platform","Majesco Entertainment",0.19,0.02,0,0.02,0.22,281200,"2016-01-19",1,"Abstraction Games;WayForward","Midnight City;Majesco Entertainment","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Adventure","Adventure;Puzzle-Platformer;Puzzle",21,253,118,108,108,"50000-100000","6.99",371,0.681940700808625,0.318059299191375
"a game of thrones genesis",14078,"PC","2011","Strategy","Focus Home Interactive",0,0.03,0,0.01,0.04,58550,"2011-09-28",1,"Cyanide Studios","Focus Home Interactive;1C-SoftClub","windows",0,"Single-player;Multi-player;Steam Achievements;Steam Leaderboards","Strategy","Strategy;RTS;Fantasy",75,201,420,8,8,"100000-200000","6.99",621,0.323671497584541,0.676328502415459
"a vampyre story",15827,"PC","2008","Adventure","Crimson Cow",0,0.01,0,0,0.02,313870,"2014-07-15",1,"Autumn Moon","Strategy First","windows",0,"Single-player","Adventure","Adventure;Point & Click;Vampire",0,49,35,0,0,"0-20000","14.99",84,0.583333333333333,0.416666666666667
"advent rising",9586,"XB","2005","Action","THQ",0.1,0.03,0,0,0.13,3800,"2006-09-14",1,"GlyphX Games","Majesco Entertainment","windows",0,"Single-player;Steam Trading Cards","Action","Action;Sci-fi;Story Rich",0,260,71,0,0,"50000-100000","7.19",331,0.785498489425982,0.214501510574018
"aegis of earth protonovus assault",15169,"PS4","2016","Action","PQube",0.02,0,0,0,0.02,450250,"2016-07-18",1,"Acquire","Aksys Games","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Strategy","Strategy;Tower Defense;Anime",32,17,11,0,0,"0-20000","14.99",28,0.607142857142857,0.392857142857143
"agatha christie the abc murders",10446,"DS","2009","Adventure","JoWood Productions",0.08,0.01,0,0.01,0.1,374900,"2016-02-04",1,"Artefacts Studios","Microids","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards","Adventure","Adventure;Point & Click;Detective",50,661,176,163,188,"100000-200000","10.99",837,0.789725209080048,0.210274790919952
"age of empires iii complete collection",8296,"PC","2009","Strategy","Microsoft Game Studios",0.01,0.12,0,0.03,0.17,105450,"2012-01-05",1,"Ensemble Studios","Microsoft Studios","windows",0,"Single-player;Multi-player;Steam Trading Cards","Simulation;Strategy","Strategy;RTS;Base-Building",0,13759,1801,902,211,"2000000-5000000","29.99",15560,0.884254498714653,0.115745501285347
"air combat",952,"PS","1995","Simulation","Sony Computer Entertainment",0.92,0.33,0.52,0.05,1.83,991280,"2018-12-18",1,"Sonic-Alpha","NS","windows;mac",0,"Single-player;Steam Achievements;Steam Leaderboards","Action;Indie","Indie;Action;Flight",5,4,5,0,0,"0-20000","0.79",9,0.444444444444444,0.555555555555556
"air conflicts secret wars",7776,"PS3","2011","Simulation","bitComposer Games",0.1,0.06,0,0.03,0.19,95900,"2011-07-15",1,"Games Farm;3Division","Games Farm","windows",0,"Single-player;Multi-player;Steam Achievements","Action;Simulation","Simulation;Action;Flight",25,167,111,20,20,"50000-100000","4.79",278,0.600719424460432,0.399280575539568
"airline tycoon 2",12828,"PC","2011","Simulation","Kalypso Media",0,0.04,0,0.01,0.05,201490,"2011-10-24",1,"b-Alive","Kalypso Media Digital","windows",0,"Single-player","Simulation;Strategy","Simulation;Strategy;Economy",0,61,386,0,0,"50000-100000","6.99",447,0.136465324384787,0.863534675615213
"akibas trip undead & undressed",7338,"PSV","2013","Action","Nippon Ichi Software",0.09,0.02,0.08,0.03,0.21,333980,"2015-05-26",1,"ACQUIRE Corp.","XSEED Games;Marvelous USA, Inc.","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure;Casual;RPG","Anime;Nudity;JRPG",46,2112,297,409,591,"100000-200000","14.99",2409,0.876712328767123,0.123287671232877
"alan wake",1444,"X360","2010","Action","Microsoft Game Studios",0.66,0.51,0.05,0.13,1.35,108710,"2012-02-16",1,"Remedy Entertainment","Remedy Entertainment","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure","Action;Horror;Adventure",67,22962,2163,239,228,"2000000-5000000","11.39",25125,0.913910447761194,0.086089552238806
"alien isolation",1814,"PS4","2014","Shooter","Sega",0.34,0.56,0.04,0.19,1.13,214490,"2014-10-06",1,"Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux",18,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Action","Horror;Survival Horror;Sci-fi",50,24534,1958,563,720,"1000000-2000000","29.99",26492,0.926090895364638,0.0739091046353616
"aliens vs predator",7763,"PC","2010","Shooter","Sega",0,0.17,0,0.02,0.19,10680,"2010-02-16",1,"Rebellion","SEGA","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards","Action","Action;FPS;Aliens",50,9448,1186,170,168,"1000000-2000000","9.99",10634,0.888470942260673,0.111529057739327
"alone in the dark",16396,"PC","2008","Adventure","Atari",0,0.01,0,0,0.01,259170,"2013-10-29",1,"Eden Games;Hydravision Entertainment","THQ Nordic","windows",0,"Single-player","Action;Adventure","Adventure;Action;Horror",0,199,304,86,86,"50000-100000","6.99",503,0.395626242544732,0.604373757455268
"alone in the dark the new nightmare",8555,"PS","N/A","Adventure","Infogrames",0.09,0.06,0,0.01,0.16,259190,"2013-10-29",1,"Darkworks;Spiral House","THQ Nordic","windows",0,"Single-player","Action;Adventure","Adventure;Action;Horror",0,149,103,6,6,"20000-50000","4.99",252,0.591269841269841,0.408730158730159
"alpha protocol",4495,"PS3","2010","Role-Playing","Sega",0.19,0.18,0,0.07,0.43,34010,"2010-05-27",1,"Obsidian Entertainment","SEGA","windows",16,"Single-player","Action;RPG","RPG;Stealth;Action",0,3113,785,267,214,"500000-1000000","9.99",3898,0.798614674191893,0.201385325808107
"alter ego",14338,"PC","1985","Simulation","Activision",0,0.03,0,0.01,0.03,63110,"2010-08-03",1,"bitComposer Games","Viva Media","windows",0,"Single-player","Adventure","Adventure;Point & Click;Mystery",0,139,59,12,12,"20000-50000","7.19",198,0.702020202020202,0.297979797979798
"anima gate of memories",15397,"PS4","2016","Action","Avanquest",0,0.02,0,0,0.02,380750,"2016-06-02",1,"Anima Project","BadLand Publishing","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats","Action;Adventure;RPG","Action;RPG;Adventure",25,338,151,0,0,"20000-50000","14.99",489,0.69120654396728,0.30879345603272
"anno 2070",1322,"PC","2011","Strategy","Ubisoft",0,1.13,0,0.32,1.45,48240,"2011-11-17",1,"Blue Byte;Related Designs","Ubisoft","windows",0,"Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;City Builder;Simulation",0,5653,3686,879,846,"500000-1000000","16.99",9339,0.60531106114145,0.39468893885855
"anno 2205",6745,"PC","2015","Strategy","Ubisoft",0.02,0.22,0,0.01,0.25,375910,"2015-11-02",1,"Blue Byte","Ubisoft","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Simulation;Strategy","Strategy;City Builder;Simulation",198,2141,1245,1930,3613,"200000-500000","33.99",3386,0.632309509746013,0.367690490253987
"apb reloaded",13947,"PC","2011","Role-Playing","Iceberg Interactive",0.02,0.01,0,0,0.04,113400,"2011-12-06",1,"Little Orbit","Little Orbit","windows",0,"Multi-player;MMO;Steam Achievements","Action;Free to Play;Massively Multiplayer","Free to Play;Open World;Action",60,20028,11779,3835,302,"5000000-10000000","0.0",31807,0.62967271355362,0.37032728644638
"armed and dangerous",9651,"XB","2003","Shooter","LucasArts",0.09,0.03,0,0,0.13,6090,"2009-07-08",1,"Planet Moon Studios","LucasArts;Lucasfilm;Disney Interactive","windows",0,"Single-player;Steam Cloud","Action","Action;Comedy;Third-Person Shooter",0,115,18,100,100,"20000-50000","4.79",133,0.864661654135338,0.135338345864662
"army men rts",12112,"GC","2004","Strategy","Global Star",0.05,0.01,0,0,0.07,694500,"2017-12-20",1,"Pandemic Studios","2K","windows",0,"Single-player","Action;Strategy","Strategy;Action;RTS",0,152,28,0,0,"20000-50000","4.69",180,0.844444444444444,0.155555555555556
"around the world in 80 days",8494,"DS","2010","Action","PlayV",0,0.14,0,0.02,0.16,837790,"2018-04-03",1,"Mzonestudio","Microïds Indie","windows",0,"Single-player","Adventure;Casual","Adventure;Casual;Hidden Object",0,3,2,0,0,"0-20000","1.69",5,0.6,0.4
"arslan the warriors of legend",13413,"PS3","2015","Action","Tecmo Koei",0,0,0.05,0,0.05,401890,"2016-02-09",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support","Action","Action;Anime;Hack and Slash",41,131,52,68,68,"0-20000","49.99",183,0.715846994535519,0.284153005464481
"arx fatalis",13122,"XB","2003","Role-Playing","Mindscape",0.04,0.01,0,0,0.05,1700,"2007-04-03",1,"Arkane Studios","Arkane Studios","windows",0,"Single-player","RPG","RPG;First-Person;Classic",0,671,106,11,21,"100000-200000","2.99",777,0.863577863577864,0.136422136422136
"assassins creed brotherhood",374,"X360","2010","Action","Ubisoft",2.84,0.39,0.03,0.24,3.5,48190,"2011-03-17",1,"Ubisoft Montreal","Ubisoft","windows",18,"Single-player;Multi-player;Partial Controller Support","Action;Adventure","Action;Adventure;Open World",0,6676,929,600,471,"500000-1000000","12.49",7605,0.87784352399737,0.12215647600263
"assassins creed chronicles china",14085,"PS4","2015","Action","Ubisoft",0,0.03,0,0.01,0.04,354380,"2015-04-21",1,"Climax Studios","Ubisoft Entertainment","windows",0,"Single-player;Steam Trading Cards;Partial Controller Support","Action;Adventure","Assassin;Female Protagonist;Action",0,1547,570,72,101,"100000-200000","8.59",2117,0.730751062824752,0.269248937175248
"assassins creed iv black flag",733,"XOne","2013","Action","Ubisoft",1.47,0.55,0,0.19,2.21,242050,"2013-11-19",1,"Ubisoft Montreal","Ubisoft","windows",0,"Single-player;Multi-player;In-App Purchases","Action;Adventure","Pirates;Open World;Action",0,23904,3362,3234,1761,"1000000-2000000","16.99",27266,0.876696251742096,0.123303748257904
"assassins creed revelations",264,"PS3","2011","Action","Ubisoft",1.41,2.02,0.1,0.72,4.24,201870,"2011-11-30",1,"Ubisoft Montreal","Ubisoft","windows",16,"Single-player;Multi-player","Action;Adventure","Action;Open World;Parkour",0,5912,1055,1153,1306,"500000-1000000","12.49",6967,0.848571838668006,0.151428161331994
"assassins creed rogue",1966,"X360","2014","Action","Ubisoft",0.58,0.38,0,0.09,1.05,311560,"2015-03-09",1,"Ubisoft Sofia;Ubisoft Kiev","Ubisoft","windows",0,"Single-player;Partial Controller Support","Action;Adventure","Open World;Assassin;Action",0,4303,992,1240,1383,"200000-500000","16.99",5295,0.812653446647781,0.187346553352219
"assassins creed syndicate",1545,"XOne","2015","Action","Ubisoft",0.61,0.56,0,0.11,1.28,368500,"2015-11-18",1,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","Ubisoft","windows",0,"Single-player;In-App Purchases;Partial Controller Support","Action;Adventure","Assassin;Open World;Action",0,7203,2391,564,680,"500000-1000000","33.99",9594,0.750781738586617,0.249218261413383
"assassins creed unity",305,"PS4","2014","Action","Ubisoft",1.18,1.96,0.08,0.7,3.92,289650,"2014-12-19",1,"Ubisoft","Ubisoft","windows",0,"Single-player;Multi-player;Co-op;In-App Purchases;Partial Controller Support","Action;Adventure","Open World;Parkour;Assassin",0,12350,7354,1686,1790,"500000-1000000","25.99",19704,0.62677628907836,0.37322371092164
"assault suit leynos",15855,"PS4","2016","Shooter","Rising Star Games",0.01,0,0,0,0.02,441350,"2016-08-30",1,"Dracue Software","Rising Star Games","windows",0,"Single-player;Steam Achievements;Partial Controller Support","Action","Action;Mechs;Robots",35,52,22,0,0,"0-20000","19.99",74,0.702702702702703,0.297297297297297
"assetto corsa",13031,"PS4","2016","Racing","505 Games",0,0.04,0,0.01,0.05,244210,"2014-12-19",1,"Kunos Simulazioni","Kunos Simulazioni","windows",0,"Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Leaderboards;Includes level editor","Indie;Racing;Simulation;Sports","Racing;Simulation;Driving",709,15277,2337,3107,5267,"500000-1000000","15.49",17614,0.867321448847508,0.132678551152492
"atelier sophie the alchemist of the mysterious book",10662,"PS4","2015","Role-Playing","Tecmo Koei",0.01,0.02,0.06,0.01,0.1,527270,"2017-02-07",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Steam Achievements;Partial Controller Support","RPG","Anime;JRPG;RPG",45,1122,145,37,37,"50000-100000","24.99",1267,0.885556432517759,0.114443567482242
"azada",15501,"3DS","2012","Puzzle","Licensed 4U",0,0.02,0,0,0.02,7340,"2010-04-21",1,"Big Fish Games","Big Fish Games","windows",0,"Single-player","Casual;Indie","Casual;Indie;Puzzle",0,8,4,0,0,"0-20000","6.99",12,0.666666666666667,0.333333333333333
"ballistic",13868,"PS","1999","Puzzle","Atari",0.02,0.01,0,0,0.04,580870,"2017-02-20",1,"Electrovore","Electrovore","windows",0,"Single-player;Partial Controller Support","Action;Adventure;Casual;Indie","Adventure;Indie;Casual",0,6,2,0,0,"0-20000","02.09",8,0.75,0.25
"batman arkham knight",9571,"PC","2015","Action","Warner Bros. Interactive Entertainment",0.08,0.03,0,0.01,0.13,208650,"2015-06-23",1,"Rocksteady Studios","Warner Bros. Interactive Entertainment","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Adventure","Batman;Action;Open World",113,33121,12981,1266,1296,"1000000-2000000","15.99",46102,0.718428701574769,0.281571298425231
"batman arkham origins",5567,"WiiU","2013","Action","Warner Bros. Interactive Entertainment",0.2,0.09,0,0.03,0.33,209000,"2013-10-24",1,"WB Games Montreal;Splash Damage","Warner Bros. Interactive Entertainment","windows",16,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Adventure","Action;Batman;Open World",60,20365,3519,538,443,"2000000-5000000","0.0",23884,0.852662870540948,0.147337129459052
"battle worlds kronos",16054,"PC","2016","Strategy","Nordic Games",0,0.01,0,0,0.01,237470,"2013-11-04",1,"KING Art","KING Art;THQ Nordic","windows;mac;linux",0,"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Includes level editor","Strategy","Strategy;Turn-Based Strategy;Turn-Based",39,159,76,34,34,"20000-50000","14.99",235,0.676595744680851,0.323404255319149
"battleborn",12007,"PC","2016","Shooter","Take-Two Interactive",0.03,0.03,0,0.01,0.07,394230,"2016-05-03",1,"Gearbox Software","2K","windows",0,"Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","FPS;Action;Multiplayer",60,5692,3494,652,752,"500000-1000000","0.0",9186,0.619638580448509,0.380361419551491
"battlefield bad company 2",380,"X360","2010","Shooter","Electronic Arts",2.09,1.02,0.04,0.32,3.48,24960,"2010-03-02",1,"DICE","Electronic Arts","windows",0,"Single-player;Multi-player","Action","FPS;Multiplayer;Action",0,23093,3877,1200,671,"2000000-5000000","14.99",26970,0.856247682610308,0.143752317389692
"battlestations midway",16276,"PC","2007","Strategy","Eidos Interactive",0,0.01,0,0,0.01,6870,"2007-03-15",1,"Eidos Interactive","Square Enix","windows",0,"Single-player","Action","Action;World War II;Naval",0,316,113,0,0,"200000-500000","4.99",429,0.736596736596737,0.263403263403263
"battlestations pacific",14872,"PC","2009","Strategy","Eidos Interactive",0,0.02,0,0,0.03,8170,"2009-05-13",1,"Eidos Studio Hungary","Square Enix","windows",0,"Single-player;Multi-player;Partial Controller Support","Action;Strategy","World War II;Strategy;Action",0,1028,542,132,132,"200000-500000","6.99",1570,0.654777070063694,0.345222929936306
"bayonetta",1627,"PS3","2009","Action","Sega",0.44,0.41,0.21,0.17,1.23,460790,"2017-04-11",1,"PlatinumGames","SEGA","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;Adventure","Action;Female Protagonist;Hack and Slash",50,8866,843,232,180,"500000-1000000","14.99",9709,0.913173344319703,0.0868266556802966
"bejeweled 3",9253,"X360","N/A","Puzzle","Unknown",0.13,0,0,0.01,0.14,78000,"2010-12-07",1,"PopCap Games, Inc.","PopCap Games, Inc.","windows;mac",0,"Single-player;Steam Achievements","Strategy;Casual","Casual;Puzzle;Match 3",65,2670,126,85,158,"200000-500000","4.25",2796,0.954935622317597,0.0450643776824034
"bejeweled twist",13045,"PC","2008","Puzzle","PopCap Games",0.01,0.04,0,0.01,0.05,3560,"2008-11-18",1,"PopCap Games, Inc.","PopCap Games, Inc.","windows",0,"Single-player","Strategy;Casual","Casual;Strategy;Match 3",0,98,18,0,0,"20000-50000","4.25",116,0.844827586206897,0.155172413793103
"binary domain",5449,"PS3","2012","Action","Sega",0.09,0.08,0.14,0.03,0.33,203750,"2012-04-26",1,"Devil's Details","SEGA","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards","Action","Action;Third-Person Shooter;Sci-fi",49,4416,742,639,1242,"500000-1000000","9.99",5158,0.856145792943001,0.143854207056999
"bionic commando",5138,"PS3","2009","Platform","Capcom",0.12,0.17,0.01,0.07,0.37,21670,"2009-07-28",1,"Capcom","Capcom","windows",0,"Single-player;Multi-player;Partial Controller Support;Steam Cloud","Action;Adventure","Action;Adventure;Third Person",0,649,247,20,30,"200000-500000","6.49",896,0.724330357142857,0.275669642857143
"bioshock infinite",867,"X360","2013","Shooter","Take-Two Interactive",1.22,0.57,0.02,0.15,1.96,8870,"2013-03-25",1,"Irrational Games;Aspyr (Mac);Virtual Programming (Linux)","2K;Aspyr (Mac)","windows;mac;linux",18,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","FPS;Story Rich;Action",80,79442,3846,614,519,"2000000-5000000","19.99",83288,0.953822879646528,0.0461771203534723
"blades of time",10601,"PS3","2012","Action","Konami Digital Entertainment",0.04,0.03,0.01,0.01,0.1,208670,"2012-04-20",1,"Gaijin Entertainment Corporation","Gaijin Entertainment Corporation","windows;mac",16,"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards","Action;Adventure","Action;Female Protagonist;Hack and Slash",35,1363,333,105,105,"200000-500000","6.99",1696,0.803655660377358,0.196344339622642
"bladestorm nightmare",8530,"PS4","2015","Action","Tecmo Koei",0.07,0.04,0.03,0.02,0.16,350310,"2015-05-28",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action","Action;Strategy;Hack and Slash",46,177,118,0,0,"0-20000","49.99",295,0.6,0.4
"blazblue calamity trigger",3490,"PS3","2009","Fighting","PQube",0.36,0.1,0.06,0.06,0.58,263300,"2014-02-13",1,"Arc System Works","H2 Interactive Co., Ltd.","windows",0,"Single-player;Shared/Split Screen;Full controller support;Steam Trading Cards;Steam Cloud","Action","Fighting;Anime;2D Fighter",0,1843,301,174,184,"200000-500000","6.99",2144,0.859608208955224,0.140391791044776
"blazblue continuum shift extend",9786,"PSV","2011","Fighting","PQube",0.03,0.05,0.02,0.02,0.12,294810,"2014-12-11",1,"Arc System Works","H2 Interactive Co., Ltd.","windows",0,"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","Fighting;Anime;2D Fighter",50,998,88,167,167,"100000-200000","14.99",1086,0.918968692449355,0.0810313075506446
"blitzkrieg 2 anthology",16049,"PC","2008","Strategy","Ascaron Entertainment GmbH",0,0.01,0,0,0.01,313500,"2014-09-16",1,"Nival","Nival","windows",0,"Single-player","Strategy","Strategy;World War II;RTS",0,444,79,132,132,"100000-200000","3.99",523,0.848948374760994,0.151051625239006
"blood bowl legendary edition",15566,"PC","2010","Sports","Focus Home Interactive",0,0.01,0,0,0.02,58520,"2010-10-28",1,"Cyanide Studios","Focus Home Interactive","windows",0,"Single-player;Multi-player","Sports;Strategy","Strategy;Sports;Turn-Based",0,675,228,284,380,"200000-500000","7.99",903,0.747508305647841,0.252491694352159
"bloodrayne",10122,"GC","2002","Shooter","Universal Interactive",0.09,0.02,0,0,0.11,3810,"2006-09-14",1,"Terminal Reality","Majesco Entertainment","windows",0,"Single-player;Steam Trading Cards","Action","Action;Vampire;Female Protagonist",0,369,110,111,111,"50000-100000","6.99",479,0.77035490605428,0.22964509394572
"bloodrayne 2",8879,"XB","2004","Shooter","THQ",0.11,0.03,0,0.01,0.15,3820,"2006-09-14",1,"Terminal Reality","Majesco Entertainment","windows",0,"Single-player;Steam Trading Cards","Action","Action;Vampire;Female Protagonist",0,259,103,771,771,"50000-100000","6.99",362,0.715469613259669,0.284530386740331
"blowout",7100,"PS2","2003","Shooter","Zoo Digital Publishing",0.11,0.09,0,0.03,0.23,719070,"2018-03-06",1,"Terminal Reality","Majesco Entertainment","windows",0,"Single-player;Partial Controller Support","Action","Action",0,0,1,0,0,"0-20000","5.19",1,0,1
"borderlands 2",2226,"PC","2012","Shooter","Take-Two Interactive",0.42,0.41,0,0.11,0.93,49520,"2012-09-20",1,"Gearbox Software;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)","windows;mac;linux",18,"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;RPG","FPS;Co-op;RPG",69,144595,11021,3276,1139,"5000000-10000000","19.99",155616,0.929178233600658,0.070821766399342
"borderlands the presequel",2759,"X360","2014","Shooter","Take-Two Interactive",0.46,0.22,0.01,0.06,0.75,261640,"2014-10-16",1,"2K Australia;Gearbox Software;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)","windows;mac;linux",18,"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;RPG","Co-op;Action;FPS",63,16909,5076,1661,886,"2000000-5000000","29.99",21985,0.76911530589038,0.23088469410962
"botanicula",14649,"PC","2012","Adventure","Daedalic Entertainment",0,0.02,0,0,0.03,207690,"2012-05-07",1,"Amanita Design","Amanita Design","windows;mac",0,"Single-player;Steam Achievements;Steam Trading Cards","Adventure;Casual;Indie","Point & Click;Adventure;Indie",53,3524,136,16,20,"200000-500000","7.99",3660,0.962841530054645,0.0371584699453552
"bottom of the 9th",5146,"N64","1999","Sports","Konami Digital Entertainment",0.37,0,0,0,0.37,705020,"2017-10-11",1,"Handelabra Games Inc.","Handelabra Games Inc.","windows;mac;linux",0,"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards","Indie;Sports;Strategy","Strategy;Sports;Indie",17,11,2,0,0,"0-20000","4.99",13,0.846153846153846,0.153846153846154
"bound by flame",7749,"PS4","2014","Role-Playing","Focus Home Interactive",0.07,0.08,0,0.04,0.19,243930,"2014-05-08",1,"Spiders","Focus Home Interactive","windows;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action;RPG","RPG;Action;Fantasy",41,1843,943,731,731,"200000-500000","14.99",2786,0.661521895190237,0.338478104809763
"braid",14529,"PC","2009","Platform","Number None",0,0.02,0,0.01,0.03,26800,"2009-04-10",1,"Number None","Number None","windows;mac;linux",0,"Single-player;Steam Achievements;Full controller support;Steam Cloud","Casual;Indie;Strategy","Puzzle;Platformer;Indie",12,6529,386,178,251,"1000000-2000000","10.99",6915,0.944179320318149,0.055820679681851
"breakout",10242,"PS","1999","Puzzle","Hasbro Interactive",0.06,0.04,0,0.01,0.11,955790,"2018-11-09",1,"FinalBit","FinalBit","windows",0,"Single-player;Steam Achievements","Action;Casual;Indie;Simulation","Action;Indie;Casual",15,11,1,0,0,"0-20000","4.79",12,0.916666666666667,0.0833333333333333
"bridge",6319,"2600","1980","Misc","Activision",0.25,0.02,0,0,0.27,300160,"2015-10-28",1,"toxtronyx interactive GmbH","Aerosoft GmbH","windows",0,"Single-player","Casual;Simulation;Strategy","Strategy;Casual;Simulation",0,7,21,0,0,"0-20000","4.5",28,0.25,0.75
"brink",2001,"X360","2011","Shooter","Bethesda Softworks",0.59,0.35,0.01,0.09,1.04,22350,"2011-05-09",1,"Splash Damage","Bethesda Softworks","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards","Action;Free to Play","FPS;Action;Multiplayer",43,3493,2331,181,99,"1000000-2000000","0.0",5824,0.599759615384615,0.400240384615385
