"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"dying light",1099,"PS4","2015","Action","Warner Bros. Interactive Entertainment",0.63,0.66,0.11,0.26,1.66,239140,"2015-01-26",1,"Techland","Techland Publishing","windows;mac;linux",18,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor","Action;RPG","Zombies;Survival;Open World",68,78192,6176,2033,1299,"2000000-5000000","24.99",84368,0.926796889816044,0.073203110183956
"dynasty warriors 8 empires",15491,"PSV","2015","Action","Tecmo Koei",0,0,0.02,0,0.02,322520,"2015-02-26",1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","windows",0,"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action","Action;Character Customization;Hack and Slash",48,561,318,0,0,"20000-50000","39.99",879,0.638225255972696,0.361774744027304
"earth defense force 41 the shadow of new despair",13015,"PS4","2015","Shooter","Xseed Games",0.02,0.02,0,0.01,0.05,410320,"2016-07-18",1,"SANDLOT","D3 PUBLISHER","windows",12,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","Action;Third-Person Shooter;Co-op",51,4325,267,915,1708,"200000-500000","15.49",4592,0.941855400696864,0.0581445993031359
"earth defense force insect armageddon",7946,"X360","2011","Shooter","D3Publisher",0.1,0.05,0.03,0.01,0.19,23530,"2011-12-14",1,"Vicious Cycle Software, Inc.","D3Publisher of America, Inc.","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats","Action","Action;Third-Person Shooter;Co-op",50,731,95,253,380,"50000-100000","6.99",826,0.88498789346247,0.11501210653753
"earthworm jim 2",14259,"GBA","2002","Platform","Vivendi Games",0.02,0.01,0,0,0.03,38490,"2009-11-04",1,"Shiny Entertainment","Interplay Inc.","windows",0,"Single-player","Action;Adventure","Adventure;Action;Classic",0,47,16,0,0,"20000-50000","14.99",63,0.746031746031746,0.253968253968254
"earthworm jim 3d",9819,"N64","1999","Platform","Interplay",0.1,0.02,0,0,0.12,41600,"2009-11-04",1,"VIS Interactive","Interplay Inc.","windows",0,"Single-player","Action;Adventure","Adventure;Action;Platformer",0,34,36,0,0,"0-20000","14.99",70,0.485714285714286,0.514285714285714
"east india company",16073,"PC","2009","Strategy","Paradox Interactive",0.01,0,0,0,0.01,25930,"2009-07-31",1,"Nitro Games","Nitro Games","windows",0,"Single-player;Multi-player","Strategy","Strategy;Economy;Historical",0,45,48,0,0,"50000-100000","7.99",93,0.483870967741935,0.516129032258065
"edna & harvey harveys new eyes",11230,"PC","2011","Adventure","Rondomedia",0,0.07,0,0.01,0.09,219910,"2012-10-16",1,"Daedalic Entertainment","Daedalic Entertainment","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Adventure;Indie","Point & Click;Adventure;Dark Humor",29,1674,162,170,268,"200000-500000","15.99",1836,0.911764705882353,0.0882352941176471
"elven legacy",15872,"PC","2009","Strategy","Paradox Interactive",0.01,0,0,0,0.02,25850,"2009-04-07",1,"1C:InoCo","1C Entertainment","windows",0,"Single-player;Multi-player;Steam Cloud;Includes level editor","RPG;Strategy","Strategy;RPG;Turn-Based Strategy",0,76,29,27,27,"50000-100000","3.99",105,0.723809523809524,0.276190476190476
"enclave",9191,"XB","2002","Adventure","Swing! Entertainment",0.11,0.03,0,0.01,0.14,253980,"2013-10-04",1,"Starbreeze","Topware Interactive","windows;mac;linux",0,"Single-player;Steam Trading Cards;Steam Cloud","RPG","RPG;Action;Third Person",0,4076,1139,213,227,"1000000-2000000","3.99",5215,0.781591562799617,0.218408437200383
